ID,Manzana,Lote,Superficie,Estado,Cuota,Total,Descuento,Contado,Entrega ,
"001-RESIDENCIAL ALTO PARAISO
",,,,,,,,,,
2-19-5,19,5,362.33,Libre,500000,65000000,0.5,32500000,,2
2-2-1,2,1,362.34,Libre,520000,67600000,0.5,33800000,,2
2-2-10,2,10,,Cancelado,,0,0.5,0,,2
2-2-2,2,2,362.34,Libre,500000,65000000,0.5,32500000,,2
2-2-3,2,3,362.34,Libre,500000,65000000,0.5,32500000,,2
2-2-4,2,4,362.34,Vendido,,0,0.5,0,,2
2-2-5,2,5,362.34,Vendido,,0,0.5,0,,2
2-2-6,2,6,362.34,Vendido,,0,0.5,0,,2
2-2-7,2,7,362.34,Vendido,,0,0.5,0,,2
2-2-8,2,8,362.34,Libre,520000,67600000,0.5,33800000,,2
2-20-1,20,1,626.88,Vendido,,0,0.5,0,,2
2-20-10,20,10,629.88,Vendido,,0,0.5,0,,2
2-20-2,20,2,855.14,Vendido,,0,0.5,0,,2
2-20-3,20,3,855.14,Vendido,,0,0.5,0,,2
2-20-4,20,4,855.14,Cancelado,,0,0.5,0,,2
2-20-5,20,5,855.14,Cancelado,,0,0.5,0,,2
2-20-6,20,6,492.79,Vendido,,0,0.5,0,,2
2-20-7,20,7,492.79,Vendido,,0,0.5,0,,2
2-20-8,20,8,587.55,Cancelado,,0,0.5,0,,2
2-20-9,20,9,629.88,Cancelado,,0,0.5,0,,2
2-3-1,3,1,362.34,Vendido,,0,0.5,0,,2
2-3-2,3,2,362.34,Libre,470000,61100000,0.5,30550000,,2
2-3-3,3,3,362.34,Libre,470000,61100000,0.5,30550000,,2
2-3-4,3,4,362.34,Libre,470000,61100000,0.5,30550000,,2
2-3-5,3,5,362.34,Libre,480000,62400000,0.5,31200000,,2
2-3-6,3,6,362.34,Vendido,,0,0.5,0,,2
2-3-7,3,7,362.34,Vendido,,0,0.5,0,,2
2-3-8,3,8,,Vendido,,0,0.5,0,,2
2-4-1,4,1,,Libre,470000,61100000,0.5,30550000,,2
2-4-2,4,2,362.34,Libre,460000,59800000,0.5,29900000,,2
2-4-3,4,3,362.34,Libre,460000,59800000,0.5,29900000,,2
